query_id,source_id,board_index,crop_x,crop_y,crop_w,crop_h,crop_x1,crop_y1,long_side,short_side,aspect,query_rotation_deg,expected_alignment_angle_deg,source_width,source_height,aged_query_path,ground_truth_mask_path
log1_board1,log1,1,2325,1596,851,223,3176,1819,851,223,3.81614350,180,180,4624,3468,/home/sshirodk/Documents/Biomtrace-new/matching/spatial/ducret-autun-t2-virtual-sawn-full-similarity/seg/log1_board1.jpg,/home/sshirodk/Documents/Biomtrace-new/matching/spatial/ducret-traceability-evaluation-v18/dataset/localization_ground_truth_masks/log1_board1.png
log1_board2,log1,2,2618,1311,422,1027,3040,2338,1027,422,2.43364929,0,0,4624,3468,/home/sshirodk/Documents/Biomtrace-new/matching/spatial/ducret-autun-t2-virtual-sawn-full-similarity/seg/log1_board2.jpg,/home/sshirodk/Documents/Biomtrace-new/matching/spatial/ducret-traceability-evaluation-v18/dataset/localization_ground_truth_masks/log1_board2.png
log1_board3,log1,3,2216,1410,1044,319,3260,1729,1044,319,3.27272727,0,0,4624,3468,/home/sshirodk/Documents/Biomtrace-new/matching/spatial/ducret-autun-t2-virtual-sawn-full-similarity/seg/log1_board3.jpg,/home/sshirodk/Documents/Biomtrace-new/matching/spatial/ducret-traceability-evaluation-v18/dataset/localization_ground_truth_masks/log1_board3.png
log1_board4,log1,4,2359,845,296,930,2655,1775,930,296,3.14189189,180,180,4624,3468,/home/sshirodk/Documents/Biomtrace-new/matching/spatial/ducret-autun-t2-virtual-sawn-full-similarity/seg/log1_board4.jpg,/home/sshirodk/Documents/Biomtrace-new/matching/spatial/ducret-traceability-evaluation-v18/dataset/localization_ground_truth_masks/log1_board4.png
log1_board5,log1,5,2584,1095,393,965,2977,2060,965,393,2.45547074,180,180,4624,3468,/home/sshirodk/Documents/Biomtrace-new/matching/spatial/ducret-autun-t2-virtual-sawn-full-similarity/seg/log1_board5.jpg,/home/sshirodk/Documents/Biomtrace-new/matching/spatial/ducret-traceability-evaluation-v18/dataset/localization_ground_truth_masks/log1_board5.png
log1_board6,log1,6,2294,1417,384,1030,2678,2447,1030,384,2.68229167,270,90,4624,3468,/home/sshirodk/Documents/Biomtrace-new/matching/spatial/ducret-autun-t2-virtual-sawn-full-similarity/seg/log1_board6.jpg,/home/sshirodk/Documents/Biomtrace-new/matching/spatial/ducret-traceability-evaluation-v18/dataset/localization_ground_truth_masks/log1_board6.png
log1_board7,log1,7,2985,1804,913,412,3898,2216,913,412,2.21601942,270,90,4624,3468,/home/sshirodk/Documents/Biomtrace-new/matching/spatial/ducret-autun-t2-virtual-sawn-full-similarity/seg/log1_board7.jpg,/home/sshirodk/Documents/Biomtrace-new/matching/spatial/ducret-traceability-evaluation-v18/dataset/localization_ground_truth_masks/log1_board7.png
log1_board8,log1,8,3442,1051,229,849,3671,1900,849,229,3.70742358,180,180,4624,3468,/home/sshirodk/Documents/Biomtrace-new/matching/spatial/ducret-autun-t2-virtual-sawn-full-similarity/seg/log1_board8.jpg,/home/sshirodk/Documents/Biomtrace-new/matching/spatial/ducret-traceability-evaluation-v18/dataset/localization_ground_truth_masks/log1_board8.png
log1_board9,log1,9,2872,1915,801,276,3673,2191,801,276,2.90217391,180,180,4624,3468,/home/sshirodk/Documents/Biomtrace-new/matching/spatial/ducret-autun-t2-virtual-sawn-full-similarity/seg/log1_board9.jpg,/home/sshirodk/Documents/Biomtrace-new/matching/spatial/ducret-traceability-evaluation-v18/dataset/localization_ground_truth_masks/log1_board9.png
log1_board10,log1,10,2812,2299,875,250,3687,2549,875,250,3.50000000,270,90,4624,3468,/home/sshirodk/Documents/Biomtrace-new/matching/spatial/ducret-autun-t2-virtual-sawn-full-similarity/seg/log1_board10.jpg,/home/sshirodk/Documents/Biomtrace-new/matching/spatial/ducret-traceability-evaluation-v18/dataset/localization_ground_truth_masks/log1_board10.png
log2_board1,log2,1,2651,1555,800,262,3451,1817,800,262,3.05343511,0,0,4624,3468,/home/sshirodk/Documents/Biomtrace-new/matching/spatial/ducret-autun-t2-virtual-sawn-full-similarity/seg/log2_board1.jpg,/home/sshirodk/Documents/Biomtrace-new/matching/spatial/ducret-traceability-evaluation-v18/dataset/localization_ground_truth_masks/log2_board1.png
log2_board2,log2,2,2562,1276,213,709,2775,1985,709,213,3.32863850,180,180,4624,3468,/home/sshirodk/Documents/Biomtrace-new/matching/spatial/ducret-autun-t2-virtual-sawn-full-similarity/seg/log2_board2.jpg,/home/sshirodk/Documents/Biomtrace-new/matching/spatial/ducret-traceability-evaluation-v18/dataset/localization_ground_truth_masks/log2_board2.png
log2_board3,log2,3,3008,1938,291,713,3299,2651,713,291,2.45017182,180,180,4624,3468,/home/sshirodk/Documents/Biomtrace-new/matching/spatial/ducret-autun-t2-virtual-sawn-full-similarity/seg/log2_board3.jpg,/home/sshirodk/Documents/Biomtrace-new/matching/spatial/ducret-traceability-evaluation-v18/dataset/localization_ground_truth_masks/log2_board3.png
